age,gender,occupation,daily_screen_time_hours,sleep_duration_hours,stress_level,caffeine_intake_cups
56,Female,Designer,3.26,5.31,3.49,0
46,Female,Teacher,1.85,7.36,3.01,0
32,Female,Designer,3.04,4.5,5.03,0
25,Male,Software Engineer,9.0,6.68,10.0,0
38,Female,Teacher,3.52,7.57,6.71,4
56,Male,Teacher,7.26,7.79,10.0,2
36,Female,Teacher,4.56,6.81,5.38,0
40,Male,Manager,3.36,6.5,3.48,2
28,Male,Student,2.3,7.57,3.46,3
28,Female,Manager,9.75,4.73,10.0,3
41,Male,Designer,5.69,7.4,7.9,1
53,Female,Designer,2.03,8.6,5.23,0
57,Male,Designer,2.79,7.41,1.87,3
41,Male,Student,4.67,4.23,7.93,4
20,Male,Designer,5.9,6.53,8.09,4
39,Female,Manager,2.64,7.63,5.35,2
19,Male,Freelancer,3.5,4.22,4.36,4
41,Female,Manager,8.05,7.81,6.99,0
47,Male,Freelancer,4.76,5.41,7.48,3
55,Male,Teacher,1.01,6.94,2.94,3
19,Male,Doctor,1.49,8.83,2.64,3
38,Female,Freelancer,4.95,8.97,8.99,0
50,Female,Software Engineer,1.54,7.17,1.0,1
29,Male,Researcher,2.57,6.46,4.73,2
39,Female,Designer,7.55,4.89,8.95,4
42,Female,Student,5.32,5.04,6.95,2
44,Male,Freelancer,5.34,6.15,10.0,2
59,Female,Student,6.38,7.51,7.26,3
45,Male,Designer,8.1,7.85,9.62,4
33,Female,Doctor,2.43,5.11,1.0,2
32,Female,Manager,2.56,6.68,4.48,3
20,Male,Designer,2.09,6.96,4.18,0
54,Male,Student,9.43,8.47,10.0,3
24,Other,Software Engineer,6.2,8.38,5.59,3
38,Female,Doctor,1.83,8.09,2.37,0
26,Female,Researcher,2.99,6.58,4.56,4
56,Male,Designer,7.53,4.33,8.33,4
35,Male,Freelancer,1.26,5.67,1.5,4
21,Male,Software Engineer,7.53,7.11,10.0,1
42,Male,Researcher,9.2,7.19,10.0,2
31,Female,Designer,1.51,8.25,7.76,3
26,Female,Doctor,2.68,5.9,3.92,1
43,Female,Student,1.02,8.68,1.0,2
19,Male,Manager,1.98,4.82,1.91,3
37,Female,Freelancer,6.55,4.25,6.51,4
45,Female,Manager,1.4,4.88,4.85,0
24,Female,Doctor,4.83,6.31,6.43,1
25,Female,Researcher,5.53,8.11,6.43,0
52,Other,Researcher,9.16,4.77,10.0,4
31,Female,Teacher,5.27,6.74,9.21,2
34,Male,Manager,2.28,7.88,1.53,0
53,Male,Designer,3.6,4.17,4.19,0
57,Other,Software Engineer,7.05,4.21,9.74,2
21,Female,Software Engineer,2.01,6.45,4.65,1
19,Male,Freelancer,3.09,4.91,6.38,1
23,Male,Manager,9.96,6.25,10.0,3
59,Female,Doctor,1.05,4.22,3.0,3
21,Other,Freelancer,2.37,8.88,2.43,4
46,Male,Doctor,8.59,7.27,10.0,2
35,Female,Doctor,1.91,7.43,1.0,2
43,Female,Software Engineer,1.3,6.55,3.94,3
51,Male,Student,2.09,8.12,3.83,1
27,Male,Software Engineer,7.24,8.17,9.1,1
53,Female,Student,9.94,4.8,10.0,3
31,Female,Freelancer,6.32,7.84,9.38,2
48,Female,Freelancer,2.12,6.83,4.44,0
32,Female,Freelancer,2.65,7.81,6.45,0
25,Male,Doctor,5.84,8.59,6.97,4
31,Female,Researcher,7.44,5.68,9.92,1
40,Male,Teacher,6.97,6.85,10.0,2
57,Male,Software Engineer,6.17,7.94,8.04,1
38,Male,Researcher,9.88,8.93,10.0,0
33,Male,Doctor,2.78,7.06,3.19,2
35,Female,Software Engineer,2.56,7.61,4.87,3
41,Female,Doctor,8.73,8.23,10.0,0
43,Female,Software Engineer,3.62,7.76,6.02,0
42,Male,Designer,3.99,8.71,4.32,2
58,Female,Software Engineer,5.94,5.15,9.2,1
46,Female,Designer,4.43,8.54,7.39,0
32,Female,Researcher,3.59,5.04,5.67,4
18,Female,Student,9.25,6.83,10.0,0
42,Male,Software Engineer,2.16,6.61,4.26,1
24,Male,Student,4.64,8.16,7.51,3
26,Male,Teacher,1.03,5.99,2.71,0
41,Female,Manager,8.27,4.72,10.0,2
18,Other,Manager,2.52,7.53,5.06,1
25,Male,Designer,7.96,7.03,9.51,0
41,Male,Researcher,2.34,8.14,3.26,3
28,Male,Researcher,4.75,7.79,8.04,2
34,Female,Software Engineer,7.55,8.47,10.0,4
25,Male,Manager,3.44,8.2,4.38,0
52,Male,Student,3.83,7.43,2.74,0
52,Male,Manager,7.01,6.33,9.17,1
50,Female,Manager,2.69,4.1,5.46,3
22,Female,Doctor,9.57,5.54,10.0,1
59,Female,Manager,2.7,7.64,5.0,4
56,Male,Student,7.75,4.3,9.21,4
58,Male,Manager,8.22,7.78,10.0,0
45,Male,Software Engineer,4.37,6.58,8.33,4
24,Male,Manager,2.41,8.34,3.28,2
26,Male,Teacher,2.49,7.3,2.57,0
25,Male,Manager,9.87,7.99,10.0,2
29,Female,Designer,7.53,4.86,9.16,4
51,Male,Researcher,5.05,4.86,8.59,1
50,Male,Doctor,3.32,5.06,4.53,0
40,Female,Freelancer,1.17,5.67,1.0,1
