age,gender,occupation,daily_screen_time_hours,sleep_duration_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day
56,Female,Designer,3.26,5.31,7.72,3.49,0,35,119
46,Female,Teacher,1.85,7.36,9.7,3.01,0,16,299
32,Female,Designer,3.04,4.5,6.38,5.03,0,17,21
25,Male,Software Engineer,9.0,6.68,5.53,10.0,0,3,220
38,Female,Teacher,3.52,7.57,6.69,6.71,4,92,167
56,Male,Teacher,7.26,7.79,6.16,10.0,2,50,198
36,Female,Teacher,4.56,6.81,6.81,5.38,0,19,39
40,Male,Manager,3.36,6.5,8.75,3.48,2,66,127
28,Male,Student,2.3,7.57,8.05,3.46,3,103,99
28,Female,Manager,9.75,4.73,5.52,10.0,3,56,121
41,Male,Designer,5.69,7.4,5.78,7.9,1,13,86
53,Female,Designer,2.03,8.6,5.79,5.23,0,91,294
57,Male,Designer,2.79,7.41,10.0,1.87,3,111,203
41,Male,Student,4.67,4.23,4.66,7.93,4,43,286
20,Male,Designer,5.9,6.53,5.36,8.09,4,105,104
39,Female,Manager,2.64,7.63,7.14,5.35,2,24,80
19,Male,Freelancer,3.5,4.22,8.25,4.36,4,63,206
41,Female,Manager,8.05,7.81,6.23,6.99,0,1,104
47,Male,Freelancer,4.76,5.41,6.82,7.48,3,37,131
55,Male,Teacher,1.01,6.94,8.61,2.94,3,77,209
19,Male,Doctor,1.49,8.83,7.93,2.64,3,5,143
38,Female,Freelancer,4.95,8.97,4.85,8.99,0,47,148
50,Female,Software Engineer,1.54,7.17,9.57,1.0,1,87,249
29,Male,Researcher,2.57,6.46,6.38,4.73,2,99,45
39,Female,Designer,7.55,4.89,6.15,8.95,4,80,136
42,Female,Student,5.32,5.04,5.6,6.95,2,27,88
44,Male,Freelancer,5.34,6.15,3.71,10.0,2,109,262
59,Female,Student,6.38,7.51,6.23,7.26,3,98,67
45,Male,Designer,8.1,7.85,6.87,9.62,4,65,232
33,Female,Doctor,2.43,5.11,8.77,1.0,2,38,240
32,Female,Manager,2.56,6.68,7.34,4.48,3,84,285
